Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086282,2021,12,10,18.7,1,Y
IDCJAC0010,086282,2021,12,11,22.1,1,Y
IDCJAC0010,086282,2021,12,12,28.3,1,Y
IDCJAC0010,086282,2021,12,13,32.2,1,Y
IDCJAC0010,086282,2021,12,14,23.3,1,Y
IDCJAC0010,086282,2021,12,15,16.6,1,Y
IDCJAC0010,086282,2021,12,16,21.2,1,Y
IDCJAC0010,086282,2021,12,17,30.3,1,Y
IDCJAC0010,086282,2021,12,18,34.9,1,Y
IDCJAC0010,086282,2021,12,19,23.9,1,Y
IDCJAC0010,086282,2021,12,20,28.8,1,Y
IDCJAC0010,086282,2021,12,21,26.9,1,Y
IDCJAC0010,086282,2021,12,22,20.5,1,Y
IDCJAC0010,086282,2021,12,23,21.1,1,Y
IDCJAC0010,086282,2021,12,24,28.1,1,Y
IDCJAC0010,086282,2021,12,25,22.8,1,Y
IDCJAC0010,086282,2021,12,26,19.1,1,Y
IDCJAC0010,086282,2021,12,27,23.3,1,Y
IDCJAC0010,086282,2021,12,28,23.6,1,Y
IDCJAC0010,086282,2021,12,29,26.3,1,Y
IDCJAC0010,086282,2021,12,30,34.6,1,Y
IDCJAC0010,086282,2021,12,31,38.3,1,Y
